CÓDIGO,CUENTA,PICHINCHA,PRODUBANCO
130215                          ,De 91 a 180 días,0,0
130220                          ,De 181 A 360 días,0,0
130225                          ,De más de 360 días,0,0
1303                            ,Disponibles para la venta de entidades del sector privado,"493,936,482","254,180,900"
130305                          ,De 1 a 30 días,"40,768,328","62,691,150"
130310                          ,De 31 a 90 días,"44,500,434","106,711,612"
130315                          ,De 91 a 180 días,"34,463,099","26,319,107"
130320                          ,De 181 A 360 días,"57,332,698","19,342,031"
130325                          ,De más de 360 días,"316,871,923","39,117,001"
1304                            ,Disponibles para la venta del Estado o de entidades del sector público,"1,474,484,582","263,715,006"
130405                          ,De 1 a 30 días,"139,224,495","93,663,297"
130410                          ,De 31 a 90 días,"636,591,380","138,926,275"
130415                          ,De 91 a 180 días,"522,840,210",0
130420                          ,De 181 A 360 días,"141,285,181",0
130425                          ,De más de 360 días,"34,543,316","31,125,435"
1305                            ,Mantenidas hasta el vencimiento de entidades del sector privado,"27,666,940","1,453,070"
130505                          ,De 1 a 30 días,"10,640,230",0
130510                          ,De 31 a 90 días,"10,471,594",0
130515                          ,De 91 a 180 días,"5,605,141",0
130520                          ,De 181 días a 1 año,"949,975",0
130525                          ,De 1 a 3 años,0,"1,453,070"
130530                          ,De 3 a 5 años,0,0
130535                          ,De 5 a 10 años,0,0
130540                          ,De más de 10 años,0,0
1306                            ,Mantenidas hasta su vencimiento del Estado o de entidades del sector público,"524,469,809","197,406,490"
130605                          ,De 1 a 30 días,0,0
130610                          ,De 31 a 90 días,0,0
130615                          ,De 91 a 180 días,"459,160,994","197,406,490"
130620                          ,De 181 días a 1 año,0,0
130625                          ,De 1 a 3 años,0,0
130630                          ,De 3 a 5 años,"19,592,645",0
130635                          ,De 5 a 10 años,"45,716,171",0
130640                          ,De más de 10 años,0,0
1307                            ,De disponibilidad restringida,"168,883,014","14,933,779"
130705                          ,Entregadas para operaciones de reporto,0,0
130710                          ,Depósitos sujetos a restricción,"11,672,562",0
130715                          ,Títulos valores para encaje,0,0
130720                          ,Entregados en garantía,"157,210,452","14,933,779"
130790                          ,Otros,0,0
1399                            ,(Provisión para inversiones),"-116,408,075","-31,652"
139905                          ,(Provisión para valuación de inversiones),"-116,408,075","-31,652"
139910                          ,(Provisión general para inversiones),0,0
14                              ,CARTERA DE CRÉDITOS,"8,208,619,207","4,004,219,594"
1401                            ,CARTERA DE CRÉDITOS PRODUCTIVO POR VENCER,"3,205,682,812","2,579,032,162"
140105                          ,DE 1 A 30 días,"262,670,699","177,324,298"
140110                          ,De 31 A 90 días,"445,018,271","245,129,264"
140115                          ,DE 91 A 180 días,"445,790,209","346,448,601"
140120                          ,De 181 A 360 días,"623,164,821","313,086,943"
140125                          ,De MÁS De 360 días,"1,429,038,812","1,497,043,056"
1402                            ,CARTERA DE CRÉDITOS DE CONSUMO POR VENCER,"3,100,300,825","1,171,744,852"
140205                          ,DE 1 A 30 días,"544,958,550","399,734,514"
140210                          ,De 31 A 90 días,"204,828,680","79,852,400"
140215                          ,DE 91 A 180 días,"246,484,392","96,156,110"
140220                          ,De 181 A 360 días,"414,900,204","143,250,657"
140225                          ,De MÁS De 360 días,"1,689,128,998","452,751,171"
1403                            ,CARTERA DE CRÉDITOS INMOBILIARIO POR VENCER,"690,443,896","239,444,323"
140305                          ,DE 1 A 30 días,"9,176,573","2,136,388"
140310                          ,De 31 A 90 días,"12,690,098","4,280,610"
140315                          ,De 91 A 180 días,"18,221,854","7,024,392"
140320                          ,De 181 A 360 días,"31,442,803","13,185,179"
140325                          ,De MÁS De 360 días,"618,912,569","212,817,754"
1404                            ,CARTERA DE CRÉDITOS PARA MICROCRÉDITO POR VENCER,"1,364,934,848","26,770,931"
140405                          ,DE 1 A 30 días,"74,107,867","1,953,240"
140410                          ,De 31 A 90 días,"113,174,166","1,962,639"
140415                          ,De 91 A 180 días,"164,791,035","3,639,894"
140420                          ,De 181 A 360 días,"285,055,126","3,659,529"
140425                          ,De MÁS De 360 días,"727,806,655","15,555,629"
1408                            ,CARTERA DE CRÉDITO DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO POR VENCER,"5,399,158",0
140805                          ,DE 1 A 30 días,"9,086",0
140810                          ,De 31 A 90 días,"22,736",0
140815                          ,De 91 A 180 días,"36,533",0
140820                          ,De 181 A 360 días,"77,937",0
140825                          ,De MÁS De 360 días,"5,252,866",0
1409                            ,CARTERA DE CRÉDITOS PRODUCTIVO REFINANCIADA POR VENCER,"59,182,007","7,478,515"
140905                          ,DE 1 A 30 días,"4,050,514","159,279"
140910                          ,De 31 A 90 días,"4,821,161","328,874"
140915                          ,De 91 A 180 días,"5,354,152","736,062"
140920                          ,De 181 A 360 días,"9,277,137","2,004,067"
140925                          ,De MÁS De 360 días,"35,679,043","4,250,233"
1410                            ,CARTERA DE CRÉDITOS CONSUMO REFINANCIADA POR VENCER,"21,717,088","4,681,920"
141005                          ,DE 1 A 30 días,"698,315","940,872"
141010                          ,De 31 A 90 días,"1,128,346","194,277"
141015                          ,De 91 A 180 días,"1,616,686","274,339"
141020                          ,De 181 A 360 días,"3,169,520","516,329"
141025                          ,De MÁS De 360 días,"15,104,221","2,756,101"
1411                            ,CARTERA DE CRÉDITOS INMOBILIARIO REFINANCIADA POR VENCER,"7,271,525","2,314,599"
141105                          ,DE 1 A 30 días,"76,256","16,763"
141110                          ,De 31 A 90 días,"117,873","21,778"
141115                          ,De 91 A 180 días,"164,799","33,598"
141120                          ,De 181 A 360 días,"338,651","68,539"
141125                          ,De MÁS De 360 días,"6,573,947","2,173,921"
1412                            ,CARTERA DE CRÉDITOS PARA MICROCRÉDITO REFINANCIADA POR VENCER,"14,233,401","28,212"
141205                          ,DE 1 A 30 días,"635,207",832
141210                          ,De 31 A 90 días,"970,000","1,247"
141215                          ,De 91 A 180 días,"1,266,328","1,872"
141220                          ,De 181 A 360 días,"2,403,415","3,576"
141225                          ,De MÁS De 360 días,"8,958,452","20,685"
1416                            ,CARTERA DE CRÉDITOS DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO REFINANCIADA POR VENCER,0,0
141605                          ,DE 1 A 30 días,0,0
141610                          ,De 31 A 90 días,0,0
141615                          ,De 91 A 180 días,0,0
141620                          ,De 181 A 360 días,0,0
141625                          ,De MÁS De 360 días,0,0
1417                            ,CARTERA DE CRÉDITOS PRODUCTIVO REESTRUCTURADA POR VENCER,"60,318,564","8,347,289"
141705                          ,DE 1 A 30 días,"11,453,190","144,339"
141710                          ,De 31 A 90 días,"5,313,511","199,612"
141715                          ,De 91 A 180 días,"3,769,536","335,654"
141720                          ,De 181 A 360 días,"5,501,261","3,304,352"
141725                          ,De MÁS De 360 días,"34,281,067","4,363,332"
1418                            ,CARTERA DE CRÉDITOS DE CONSUMO  REESTRUCTURADA POR VENCER,"76,486,361","57,577,473"
141805                          ,DE 1 A 30 días,"2,609,651","2,294,983"
141810                          ,De 31 A 90 días,"3,399,943","1,779,620"
141815                          ,De 91 A 180 días,"4,827,102","2,743,998"
141820                          ,De 181 A 360 días,"9,806,675","5,606,833"
141825                          ,De MÁS De 360 días,"55,842,990","45,152,038"
1419                            ,CARTERA DE CRÉDITOS INMOBILIARIO REESTRUCTURADA POR VENCER,"58,565,938","8,588,809"
141905                          ,DE 1 A 30 días,"434,682","54,205"
141910                          ,De 31 A 90 días,"860,009","74,321"
141915                          ,De 91 A 180 días,"870,261","115,877"
141920                          ,De 181 A 360 días,"1,540,483","249,504"
141925                          ,De MÁS De 360 días,"54,860,502","8,094,903"
1420                            ,CARTERA DE CRÉDITOS PARA MICROCRÉDITO REESTRUCTURADA POR VENCER,"82,333,550","500,103"
142005                          ,DE 1 A 30 días,"2,599,247","14,071"
142010                          ,De 31 A 90 días,"3,155,625","23,534"
142015                          ,De 91 A 180 días,"4,593,815","35,762"
142020                          ,De 181 A 360 días,"9,857,887","58,537"
142025                          ,De MÁS De 360 días,"62,126,975","368,199"
1424                            ,CARTERA DE CRÉDITOS DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO REESTRUCTURADA POR VENCER,0,0
142405                          ,DE 1 A 30 días,0,0
142410                          ,De 31 A 90 días,0,0
142415                          ,De 91 A 180 días,0,0
142420                          ,De 181 A 360 días,0,0
142425                          ,De MÁS De 360 días,0,0
1425                            ,CARTERA DE CRÉDITOS PRODUCTIVO QUE NO DEVENGA INTERESES,"7,179,819","1,821,417"
142505                          ,DE 1 A 30 días,"1,432,787","293,298"
142510                          ,De 31 A 90 días,"550,164","235,517"
142515                          ,De 91 A 180 días,"1,029,220","317,012"
142520                          ,De 181 A 360 días,"1,537,611","369,664"
142525                          ,De MÁS De 360 días,"2,630,037","605,927"
1426                            ,CARTERA DE CRÉDITOS DE CONSUMO QUE NO DEVENGA INTERESES,"38,435,046","18,798,147"
142605                          ,DE 1 A 30 días,"9,271,639","1,490,040"
142610                          ,De 31 A 90 días,"3,642,064","2,688,866"
142615                          ,De 91 A 180 días,"4,695,978","3,447,769"
142620                          ,De 181 A 360 días,"6,772,568","2,843,711"
142625                          ,De MÁS De 360 días,"14,052,797","8,327,760"
1427                            ,CARTERA DE CRÉDITOS INMOBILIARIO QUE NO DEVENGA INTERESES,"14,358,244","4,361,799"
142705                          ,DE 1 A 30 días,"406,419","104,000"
142710                          ,De 31 A 90 días,"388,466","71,609"
142715                          ,De 91 A 180 días,"478,126","105,508"
142720                          ,De 181 A 360 días,"934,017","215,492"
142725                          ,De MÁS De 360 días,"12,151,218","3,865,190"
1428                            ,CARTERA DE CRÉDITOS PARA MICROCRÉDITO QUE NO DEVENGA INTERESES,"16,238,860","543,279"
142805                          ,DE 1 A 30 días,"2,526,997","78,819"
142810                          ,De 31 A 90 días,"2,838,569","75,925"
142815                          ,De 91 A 180 días,"2,498,673","76,120"
142820                          ,De 181 A 360 días,"3,848,382","128,803"
142825                          ,De MÁS De 360 días,"4,526,239","183,611"
1432                            ,CARTERA DE CRÉDITO DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO QUE NO DEVENGA INTERESES,0,0
143205                          ,DE 1 A 30 días,0,0
143210                          ,De 31 A 90 días,0,0
143215                          ,De 91 A 180 días,0,0
143220                          ,De 181 A 360 días,0,0
143225                          ,De MÁS De 360 días,0,0
1433                            ,CARTERA DE CRÉDITOS PRODUCTIVO REFINANCIADA QUE NO DEVENGA INTERESES,"1,412,420","578,153"
143305                          ,DE 1 A 30 días,"256,981","95,835"
143310                          ,De 31 A 90 días,"515,789","67,269"
143315                          ,De 91 A 180 días,"133,464","59,273"
143320                          ,De 181 A 360 días,"133,750","73,273"
143325                          ,De MÁS De 360 días,"372,436","282,503"
1434                            ,CARTERA DE CRÉDITOS DE CONSUMO REFINANCIADA QUE NO DEVENGA INTERESES,"1,194,666","181,063"
143405                          ,DE 1 A 30 días,"104,475","9,480"
143410                          ,De 31 A 90 días,"64,730","27,905"
143415                          ,De 91 A 180 días,"89,076","27,589"
143420                          ,De 181 A 360 días,"170,361","24,396"
143425                          ,De MÁS De 360 días,"766,023","91,693"
1435                            ,CARTERA DE CRÉDITOS INMOBILIARIO REFINANCIADA QUE NO DEVENGA INTERESES,"187,387","73,377"
143505                          ,DE 1 A 30 días,"2,951","3,569"
143510                          ,De 31 A 90 días,"1,886","2,402"
143515                          ,De 91 A 180 días,"2,604","3,684"
143520                          ,De 181 A 360 días,"4,962","7,713"
143525                          ,De MÁS De 360 días,"174,983","56,009"
1436                            ,CARTERA DE CRÉDITOS PARA MICROCRÉDITO REFINANCIADA QUE NO DEVENGA INTERESES,"1,392,379",0
143605                          ,DE 1 A 30 días,"138,703",0
143610                          ,De 31 A 90 días,"90,758",0
143615                          ,De 91 A 180 días,"112,561",0
143620                          ,De 181 A 360 días,"226,660",0
143625                          ,De MÁS De 360 días,"823,697",0
1440                            ,CARTERA DE CRÉDITOS DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO REFINANCIADA QUE NO DEVENGA INTERESES,0,0
144005                          ,DE 1 A 30 días,0,0
144010                          ,De 31 A 90 días,0,0
144015                          ,De 91 A 180 días,0,0
144020                          ,De 181 A 360 días,0,0
144025                          ,De MÁS De 360 días,0,0
1441                            ,CARTERA DE CRÉDITOS PRODUCTIVO REESTRUCTURADA QUE NO DEVENGA INTERESES,"10,827,133","1,428,223"
144105                          ,DE 1 A 30 días,"780,046","41,750"
144110                          ,De 31 A 90 días,"461,436","58,836"
144115                          ,De 91 A 180 días,"700,769","58,727"
144120                          ,De 181 A 360 días,"1,876,831","186,494"
144125                          ,De MÁS De 360 días,"7,008,051","1,082,417"
1442                            ,CARTERA DE CRÉDITOS DE CONSUMO REESTRUCTURADA QUE NO DEVENGA INTERESES,"23,151,382","11,698,515"
144205                          ,DE 1 A 30 días,"1,337,257","333,519"
144210                          ,De 31 A 90 días,"940,412","482,160"
144215                          ,De 91 A 180 días,"1,333,246","694,815"
144220                          ,De 181 A 360 días,"2,748,100","1,113,415"
144225                          ,De MÁS De 360 días,"16,792,367","9,074,606"
1443                            ,CARTERA DE CRÉDITOS INMOBILIARIO REESTRUCTURADA QUE NO DEVENGA INTERESES,"9,443,143","1,246,484"
144305                          ,DE 1 A 30 días,"124,154","13,949"
144310                          ,De 31 A 90 días,"85,301","8,856"
144315                          ,De 91 A 180 días,"123,800","14,085"
144320                          ,De 181 A 360 días,"254,141","29,081"
144325                          ,De MÁS De 360 días,"8,855,748","1,180,512"
1444                            ,CARTERA DE CRÉDITOS PARA MICROCRÉDITO REESTRUCTURADA QUE NO DEVENGA INTERESES,"25,866,020","114,980"
144405                          ,DE 1 A 30 días,"1,409,567","8,818"
144410                          ,De 31 A 90 días,"973,061","5,726"
144415                          ,De 91 A 180 días,"1,340,916","8,616"
144420                          ,De 181 A 360 días,"2,947,064","16,333"
144425                          ,De MÁS De 360 días,"19,195,412","75,488"
1448                            ,CARTERA DE CRÉDITOS DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO REESTRUCTURADA QUE NO DEVENGA INTERESES,0,0
144805                          ,DE 1 A 30 días,0,0
144810                          ,De 31 A 90 días,0,0
144815                          ,De 91 A 180 días,0,0
144820                          ,De 181 A 360 días,0,0
144825                          ,De MÁS De 360 días,0,0
1449                            ,CARTERA DE CRÉDITOS PRODUCTIVO VENCIDA,"13,526,278","4,172,458"
144905                          ,DE 1 A 30 días,"322,320","46,668"
144910                          ,De 31 A 90 días,"2,723,822","193,437"
144915                          ,De 91 A 180 días,"4,575,102","553,045"
144920                          ,De 181 A 360 días,"3,782,491","2,352,143"
144925                          ,De MÁS De 360 días,"2,122,544","1,027,164"
1450                            ,CARTERA DE CRÉDITOS DE CONSUMO VENCIDA,"32,616,330","3,313,883"
145005                          ,DE 1 A 30 días,"1,387,961",0
145010                          ,De 31 A 90 días,"9,245,408","709,205"
145015                          ,De 91 A 180 días,"10,730,237","1,350,633"
145020                          ,De 181 A 270 días,"4,581,744","1,123,053"
145025                          ,DE MÁS DE 270 días,"6,670,981","130,992"
1451                            ,CARTERA DE CRÉDITOS INMOBILIARIO VENCIDA,"3,985,604","2,513,843"
145105                          ,DE 1 A 30 días,"340,144","207,376"
145110                          ,De 31 A 90 días,"637,512","168,820"
145115                          ,De 91 A 180 días,"1,549,648","1,410,485"
145120                          ,De 181 A 270 días,"545,083","153,342"
145125                          ,De 361 A 720 días,"677,625","535,641"
145130                          ,De MÁS De 720 días,"235,593","38,180"
1452                            ,CARTERA DE CRÉDITOS PARA MICROCRÉDITO VENCIDA,"4,476,833","88,259"
145205                          ,DE 1 A 30 días,"315,649",0
145210                          ,De 31 A 90 días,"1,552,086","37,492"
145215                          ,De 91 A 180 días,"2,211,222","46,260"
145220                          ,De 181 A 360 días,"374,489","3,248"
145225                          ,De MÁS De 360 días,"23,387","1,259"
1456                            ,CARTERA DE CRÉDITOS DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO VENCIDA,7,0
145605                          ,DE 1 A 30 días,0,0
145610                          ,De 31 A 90 días,0,0
145615                          ,De 91 A 270 días,0,0
145620                          ,De 171 A 360 días,0,0
145625                          ,De 361 A 720 días,0,0
145630                          ,De MÁS De 720 días,7,0
1457                            ,CARTERA DE CRÉDITOS PRODUCTIVO REFINANCIADA VENCIDA,"964,613","1,049,093"
145705                          ,DE 1 A 30 días,"12,873",0
145710                          ,De 31 A 90 días,"139,127","475,431"
145715                          ,De 91 A 180 días,"639,082","317,260"
145720                          ,De 181 A 360 días,"152,610","163,126"
145725                          ,De MÁS De 360 días,"20,921","93,275"
1458                            ,CARTERA DE CRÉDITOS DE CONSUMO REFINANCIADA VENCIDA,"113,161","83,557"
145805                          ,DE 1 A 30 días,"28,204","10,959"
145810                          ,De 31 A 90 días,"36,662","31,579"
145815                          ,De 91 A 180 días,"42,669","17,057"
145820                          ,De 181 A 270 días,"5,097","20,412"
145825                          ,DE MÁS DE 270 días,529,"3,550"
1459                            ,CARTERA DE CRÉDITOS INMOBILIARIO REFINANCIADA VENCIDA,"1,997","146,905"
145905                          ,DE 1 A 30 días,0,0
145910                          ,De 31 A 90 días,774,630
145915                          ,De 91 A 270 días,"1,219","140,182"
145920                          ,De 271 A 360 días,0,"1,904"
145925                          ,De 361 A 720 días,1,"4,185"
145930                          ,De MÁS De 720 días,2,4
1460                            ,CARTERA DE CRÉDITOS PARA MICROCRÉDITO REFINANCIADA VENCIDA,"286,867",3
146005                          ,DE 1 A 30 días,"85,287",0
146010                          ,De 31 A 90 días,"77,009",0
146015                          ,De 91 A 180 días,"106,749",0
146020                          ,De 181 A 360 días,"17,209",0
146025                          ,De MÁS De 360 días,612,3
1464                            ,CARTERA DE CRÉDITO DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO REFINANCIADA VENCIDA,0,0
146405                          ,DE 1 A 30 días,0,0
146410                          ,De 31 A 90 días,0,0
146415                          ,De 91 A 270 días,0,0
146420                          ,De 271 A 360 días,0,0
146425                          ,De 361 A 720 días,0,0
146430                          ,De MÁS De 720 días,0,0
1465                            ,CARTERA DE CRÉDITOS PRODUCTIVO REESTRUCTURADA VENCIDA,"2,952,127","721,262"
146505                          ,DE 1 A 30 días,"633,640",0
146510                          ,De 31 A 90 días,"543,415","505,699"
146515                          ,De 91 A 180 días,"949,858","104,134"
146520                          ,De 181 A 360 días,"660,118","93,767"
146525                          ,De MÁS De 360 días,"165,095","17,662"
1466                            ,CARTERA DE CRÉDITOS DE CONSUMO REESTRUCTURADA VENCIDA,"3,032,361","807,622"
146605                          ,DE 1 A 30 días,"495,524","40,371"
146610                          ,De 31 A 90 días,"1,402,194","214,765"
146615                          ,De 91 A 180 días,"882,157","282,560"
146620                          ,De 181 A 270 días,"209,846","266,773"
146625                          ,DE MÁS DE 270 días,"42,641","3,152"
1467                            ,CARTERA DE CRÉDITOS INMOBILIARIO REESTRUCTURADA VENCIDA,"4,547,185","604,282"
146705                          ,DE 1 A 30 días,"517,191",0
146710                          ,De 31 A 90 días,"941,329","207,997"
146715                          ,De 91 A 270 días,"1,932,337","268,616"
146720                          ,De 271 A 360 días,"710,907","5,048"
146725                          ,De 361 A 720 días,"445,242","122,380"
146730                          ,De MÁS De 720 días,180,241
1468                            ,CARTERA DE CRÉDITOS PARA MICROCRÉDITO REESTRUCTURADA VENCIDA,"2,599,342","6,605"
146805                          ,DE 1 A 30 días,"1,098,590",0
146810                          ,De 31 A 90 días,"643,788","2,799"
146815                          ,De 91 A 180 días,"738,046","3,580"
146820                          ,De 181 A 360 días,"112,885",172
146825                          ,De MÁS De 360 días,"6,034",54
1472                            ,CARTERA DE CRÉDITO DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO REESTRUCTURADA VENCIDA,0,0
147205                          ,DE 1 A 30 días,0,0
147210                          ,De 31 A 90 días,0,0
147215                          ,De 91 A 270 días,0,0
147220                          ,De 271 A 360 días,0,0
147225                          ,De 361 A 720 días,0,0
147230                          ,De MÁS De 720 días,0,0
1473                            ,CARTERA DE CRÉDITO EDUCATIVO POR VENCER,"19,781,991","1,025,212"
147305                          ,DE 1 A 30 días,"149,622","156,351"
147310                          ,De 31 A 90 días,"278,741","221,756"
147315                          ,De 91 A 180 días,"457,899","285,963"
147320                          ,De 181 A 360 días,"1,188,184","63,365"
147325                          ,De MÁS De 360 días,"17,707,544","297,777"
1475                            ,CARTERA DE CRÉDITO EDUCATIVO REFINANCIADA POR VENCER,0,0
147505                          ,DE 1 A 30 días,0,0
147510                          ,De 31 A 90 días,0,0
147515                          ,De 91 A 180 días,0,0
147520                          ,De 181 A 360 días,0,0
147525                          ,De MÁS De 360 días,0,0
1477                            ,CARTERA DE CRÉDITO EDUCATIVO REESTRUCTURADA POR VENCER,0,0
147705                          ,DE 1 A 30 días,0,0
147710                          ,De 31 A 90 días,0,0
147715                          ,De 91 A 180 días,0,0
147720                          ,De 181 A 360 días,0,0
147725                          ,De MÁS De 360 días,0,0
1479                            ,CARTERA DE CRÉDITO EDUCATIVO QUE NO DEVENGA INTERESES,"28,674","38,498"
147905                          ,DE 1 A 30 días,"2,764","38,498"
147910                          ,De 31 A 90 días,"1,604",0
147915                          ,De 91 A 180 días,"2,703",0
147920                          ,De 181 A 360 días,"5,642",0
147925                          ,De MÁS De 360 días,"15,962",0
1481                            ,CARTERA DE CRÉDITO EDUCATIVO REFINANCIADA QUE NO DEVENGA INTERESES,0,0
148105                          ,DE 1 A 30 días,0,0
148110                          ,De 31 A 90 días,0,0
148115                          ,De 91 A 180 días,0,0
148120                          ,De 181 A 360 días,0,0
148125                          ,De MÁS De 360 días,0,0
1483                            ,CARTERA DE CRÉDITO EDUCATIVO REESTRUCURADA QUE NO DEVENGA INTERESES,0,0
148305                          ,DE 1 A 30 días,0,0
148310                          ,De 31 A 90 días,0,0
148315                          ,De 91 A 180 días,0,0
148320                          ,De 181 A 360 días,0,0
148325                          ,De MÁS De 360 días,0,0
1485                            ,CARTERA DE CRÉDITO EDUCATIVO VENCIDA,"9,189","18,282"
148505                          ,DE 1 A 30 días,0,0
148510                          ,De 31 A 90 días,844,"10,029"
148515                          ,De 91 A 180 días,"2,070","8,253"
148520                          ,De 181 A 360 días,"3,263",0
148525                          ,De MÁS De 360 días,"3,013",0
1487                            ,CARTERA DE CRÉDITO EDUCATIVO REFINANCIADA VENCIDA,0,0
148705                          ,DE 1 A 30 días,0,0
148710                          ,De 31 A 90 días,0,0
148715                          ,De 91 A 180 días,0,0
148720                          ,De 181 A 360 días,0,0
148725                          ,De MÁS De 360 días,0,0
1489                            ,CARTERA DE CRÉDITO EDUCATIVO REESTRUCTURADA VENCIDA,0,0
148905                          ,DE 1 A 30 días,0,0
148910                          ,De 31 A 90 días,0,0
148915                          ,De 91 A 180 días,0,0
148920                          ,De 181 A 360 días,0,0
148925                          ,De MÁS De 360 días,0,0
1491                            ,CARTERA REFINANCIADA COVID-19 POR VENCER,"112,133,861","7,527,779"
149105                          ,PRODUCTIVO POR VENCER,"19,658,196","2,326,296"
149120                          ,CONSUMO POR VENCER,"65,758,719","4,089,334"
149130                          ,INMOBILIARIO POR VENCER,"4,077,885","1,016,673"
149135                          ,VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO POR VENCER,0,0
149140                          ,MICROCRÉDITO POR VENCER,"22,639,061","95,476"
149145                          ,DE INVERSIÓN PÚBLICA POR VENCER,0,0
149150                          ,EDUCATIVO POR VENCER,0,0
1492                            ,CARTERA REFINANCIADA COVID-19 QUE NO DEVENGA INTERÉS,"18,010,542","1,608,701"
149205                          ,PRODUCTIVO QUE NO DEVENGA INTERESES,"16,006,758","1,199,984"
149220                          ,CONSUMO QUE NO DEVENGA INTERESES,"476,699","375,359"
149230                          ,INMOBILIARIO QUE NO DEVENGA INTERESES,"9,969",0
149235                          ,VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO QUE NO DEVENGA INTERESES,0,0
149240                          ,MICROCRÉDITO QUE NO DEVENGA INTERESES,"1,517,116","33,357"
149245                          ,DE INVERSIÓN PÚBLICA QUE NO DEVENGA INTERESES,0,0
149250                          ,EDUCATIVO QUE NO DEVENGA INTERESES,0,0
1493                            ,CARTERA REFINANCIADA COVID-19 VENCIDA,"6,161,035","386,287"
149305                          ,PRODUCTIVO VENCIDA,"5,964,910","375,463"
149320                          ,CONSUMO VENCIDA,"39,438","8,842"
149330                          ,INMOBILIARIO VENCIDA,736,0
149335                          ,VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO VENCIDA,0,0
149340                          ,MICROCRÉDITO VENCIDA,"155,951","1,982"
149345                          ,DE INVERSIÓN PÚBLICA VENCIDA,0,0
149350                          ,EDUCATIVO VENCIDA,0,0
1494                            ,CARTERA REESTRUCTURADA COVID-19 POR VENCER,"89,433,325","13,924,840"
149405                          ,PRODUCTIVO POR VENCER,"10,208,063","2,742,898"
149420                          ,CONSUMO POR VENCER,"21,545,981","9,999,335"
149430                          ,INMOBILIARIO POR VENCER,"16,589,693","1,092,550"
149435                          ,VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO POR VENCER,0,0
149440                          ,MICROCRÉDITO POR VENCER,"40,983,868","90,056"
149445                          ,DE INVERSIÓN PÚBLICA POR VENCER,0,0
149450                          ,EDUCATIVO POR VENCER,"105,721",0
1495                            ,CARTERA REESTRUCTURADA COVID-19 QUE NO DEVENGA INTERÉS,"9,254,890","3,547,632"
149505                          ,PRODUCTIVO QUE NO DEVENGA INTERESES,"1,108,935","2,327,678"
149520                          ,CONSUMO QUE NO DEVENGA INTERESES,"2,533,736","1,189,935"
149530                          ,INMOBILIARIO QUE NO DEVENGA INTERESES,"1,064,657","16,355"
